day,month,year,max_temp,min_temp,mean_temp,rain,snow_precip,precip,snow_on_grnd
1969,1,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,2,8.225975119502044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,3,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,4,8.803408430829505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,5,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,6,8.803408430829505,4.960092831640006,2.4971032470247754,2.829222924442251,3.852683839099008,0.0,3.852683839099008,0.0
1969,7,9.092121131323903,4.903424279812795,2.568887543137313,3.1649051698527897,3.7383022415371228,0.0,3.7383022415371228,0.0
1969,8,9.092121131323903,3.785385315121177,2.629898454200766,2.5729274877512354,0.45415642009434537,0.0,0.45415642009434537,0.0
1969,9,8.803408430829505,4.372936727511836,2.7865358972515017,2.9532779111081737,2.225360615605092,0.0,2.225360615605092,0.0
1969,10,9.092121131323903,2.7036296788730017,2.962656480033957,2.4187262161407115,3.0287439687354984,0.0,3.0287439687354984,0.0
1969,11,8.803408430829505,3.3974382421900087,3.145785354602355,3.18282924659727,2.1403189964464158,0.14605935084449823,2.1421038922525653,0.0
1969,12,9.092121131323903,2.4079170573060953,1.974324450288832,2.1590121060260667,3.1996807751837006,0.07491931441143819,3.1974721307792424,0.0
1970,1,9.092121131323903,3.6279826432357116,3.7345582004019082,3.61669066591522,0.6821376712933075,2.719028923586374,2.70268285638971,0.0
1970,2,8.225975119502044,1.6019621921349463,1.71832252495166,1.2891898963830253,1.6627692512906915,0.6556631603912025,1.719092136790658,0.0
1970,3,9.092121131323903,3.7972231550200575,3.794302385535646,3.388608362229667,1.1392225100343405,0.05388159274909451,1.1351092848179032,0.0
1970,4,8.803408430829505,2.4823077340538546,2.370324181625822,1.674748221934138,0.9932878018045945,0.0,0.9932878018045945,0.0
1970,5,9.092121131323903,5.062442430159541,2.8097295847649764,3.051775469740608,2.0265496558055163,0.0,2.0265496558055163,0.0
1970,6,8.803408430829505,6.674394882844657,2.4479619294125983,3.804022268964668,4.872759099350062,0.0,4.872759099350062,0.0
1970,7,9.092121131323903,4.514197254123544,2.350881796740032,2.699012117388625,0.9804651289244141,0.0,0.9804651289244141,0.0
1970,8,9.092121131323903,3.4751685327147044,2.327618161219637,1.9822439279427553,1.46446803135144,0.0,1.46446803135144,0.0
1970,9,8.803408430829505,3.8406491118507535,3.479861600399833,3.0594886994043415,3.5166009651153414,0.0,3.5166009651153414,0.0
1970,10,9.092121131323903,3.936993104715697,3.276215990880674,3.2454434571486037,3.3199138422143935,0.0,3.3199138422143935,0.0
1970,11,8.803408430829505,4.5803477618910895,5.135233293197122,4.7499799634481485,1.1748367638280546,3.436892338995838,3.418880850514186,0.0
1970,12,9.092121131323903,3.6810412483152675,3.800413114706521,3.596396118837281,1.7715068618134646,3.479553161144874,3.5644993850656332,0.0
1971,1,9.092121131323903,5.627335296068398,5.276052573502705,5.306595616728959,8.242713421612677,3.8108982821849784,8.4343385091731,0.0
1971,2,8.225975119502044,2.815490044210537,3.9033699022158785,3.2978167524304896,1.5666624834617744,2.728128471370684,2.925919545309091,0.0
1971,3,9.092121131323903,3.675934472176381,3.036594024092264,2.8605360702372415,1.033940148855567,1.4635278960086533,1.8375883865012559,0.0
1971,4,8.803408430829505,3.911145381818887,3.171750290630146,2.6592713141391524,3.5224092656604706,0.0,3.5224092656604706,0.0
1971,5,9.092121131323903,5.17979110532543,2.4552642961743563,3.1552278192771714,3.3798771900589926,0.0,3.3798771900589926,0.0
1971,6,8.803408430829505,3.874104960541217,2.4169636066834985,2.5473446931686947,2.3838441085793893,0.0,2.3838441085793893,0.0
1971,7,9.092121131323903,6.6351768851485495,3.040253234744843,4.491502198039464,4.270639842225494,0.0,4.270639842225494,0.0
1971,8,9.092121131323903,4.4450287179848225,2.4105993288425616,2.739915989629181,2.6546003514955645,0.0,2.6546003514955645,0.0
1971,9,8.803408430829505,4.255538601056446,3.46852683210036,3.1575415914265195,3.1498585840283626,0.0,3.1498585840283626,0.0
1971,10,9.092121131323903,5.024259540932658,4.42656926473971,4.336526472002746,2.4352253149738496,2.7518712747704908,3.5444215777949912,0.0
1971,11,8.803408430829505,1.966220444028281,2.5534200862059846,2.0990118161518447,2.2094468331707726,0.9311283303471511,2.3170656469992874,0.0
1971,12,9.092121131323903,3.54728430783733,4.1690075262110176,3.6284035055747546,2.450538660569637,2.0217473216496202,2.914324989676173,0.0
1972,1,9.092121131323903,5.740379569009531,4.996377296349542,5.219932821394718,0.4490132550669373,2.311811610911513,2.298517480111733,0.0
1972,2,8.514693182963201,4.65858490280039,4.874905557207902,4.654546517803263,1.5028790186445247,0.16127570312773662,1.4871121299326895,0.0
1972,3,9.092121131323903,3.3712223984238996,2.305463380464334,2.330106801628574,2.9931427037476626,0.1796053020267749,3.049244574261688,0.0
1972,4,8.803408430829505,4.197585493277417,2.907360815004025,2.776297500584353,3.040160267210095,0.0,3.040160267210095,0.0
1972,5,9.092121131323903,5.265042106385203,2.605506983410256,3.2967366993168854,3.0871707778028075,0.0,3.0871707778028075,0.0
1972,6,8.803408430829505,5.1456933575848565,1.8353771048011895,3.0285916479867176,4.586832577314976,0.0,4.586832577314976,0.0
1972,7,9.092121131323903,5.002044803809469,2.0744425546880674,2.9073100978884328,6.681640671777256,0.0,6.681640671777256,0.0
