,month,day,cluster_id,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
0,1,1,0,5.666666825612387,0.6333333253860474,3.1666666666666665,5.079999923706055,1.180000066757202,62.56666819254557,19.888888676961262
1,1,1,1,2.4122586700000936,-2.480984534536089,-0.03050194547644658,4.135714215891703,1.2642857687813895,2.870173740865928,16.488095113209315
2,1,1,2,4.985714282308306,1.6857143193483357,3.357142857142857,8.857142584664482,0.8428571905408586,31.542856761387416,8.761904580252512
3,1,2,0,5.10895274206996,0.7707770504057405,2.9591216035187244,7.142499923706053,1.6487500518560405,21.44780397415161,12.06249988079071
4,1,2,1,1.8894736825635556,-4.299999961727544,-1.2210526184031838,3.7431578385202497,0.8694737334000433,0.43684209412650077,18.140350743343955
5,1,2,2,4.833333373069764,-1.2000000625848768,1.8333332935969038,5.079999923706055,1.180000066757202,82.4000015258789,15.333333015441895
6,1,3,0,5.050000190734864,0.05000000074505806,2.550000101327896,28.140000343322754,0.590000033378601,66.10000038146973,12.5
7,1,3,1,3.4555212518998557,-1.9619305199810437,0.7527413016983442,4.057142802647182,1.3102857657841274,6.76756759541375,15.390476036071778
8,1,3,2,10.800000190734863,0.0,5.400000095367432,95.1999969482422,0.0,95.1999969482422,0.0
9,1,4,0,2.118468440448245,-2.7778153289109473,-0.3272522287443286,3.383333285649617,0.9758333861827845,2.352702692771958,19.83333317438761
10,1,4,1,4.99999998911069,0.4153846072462888,2.715384584206801,6.8030769641582785,3.8030769641582776,27.507692630474384,7.641025543212888
11,1,4,2,10.0,4.300000190734863,7.199999809265138,5.079999923706055,1.180000066757202,112.5,15.333333015441895
12,1,5,0,2.3941942064298525,-2.146946962232943,0.13133132568112105,4.0770370165507,0.9792592966998064,3.9949949957706323,14.271604785212762
13,1,5,1,4.544444342454275,-0.34444442722532487,2.400000005132622,10.248888651529949,1.0488889482286239,49.811110814412444,15.814814673529732
14,1,5,2,5.450000107288361,0.6500000357627873,3.0500000417232513,0.0,1.180000066757202,3.4000000953674316,59.0
15,1,6,0,4.928571462631226,2.057142887796674,3.4999999574252536,13.228571483067103,0.8428571905408585,35.75714329310826,8.904761723109655
16,1,6,1,2.0635601708601268,-2.205778215979708,-0.060484631051277105,3.761379255303023,0.8544828069621117,2.4263746733295477,15.25287342071533
17,1,6,2,3.6500000059604645,0.44999998807907127,2.05000002682209,5.079999923706055,1.180000066757202,19.600000381469727,51.0
18,1,7,0,3.246318717968875,-1.691985094855572,0.7877912423734011,4.463448228507207,1.073793156393643,3.418266575911952,15.678160766075397
19,1,7,1,10.400000095367432,3.3499999046325684,6.900000095367431,36.13999843597412,0.590000033378601,83.1999969482422,7.666666507720947
20,1,7,2,6.857142925262451,0.5142857134342191,3.7142857142857144,15.331428255353657,0.6742857524326868,34.185713904244565,18.571428435189382
21,1,8,0,2.7399999856948853,0.2399999976158142,1.499999964237213,3.047999954223633,1.180000066757202,33.43999977111817,19.73333320617676
22,1,8,1,4.507601318880916,-0.027111493749544024,2.2576858159154654,4.687499925494194,1.7112500220537186,7.7353040250018275,13.93749985098839
23,1,8,2,7.4000000953674325,2.5999999046325684,5.0,5.079999923706055,1.180000066757202,132.39999389648438,15.333333015441895
24,1,9,0,3.2749999314546585,1.3249999731779099,2.3250000001862645,14.315000057220459,2.5900000333786006,40.62499952316284,5.458333253860472
25,1,9,1,4.30149112898728,-0.1402609543553717,2.098136047094033,5.144827513859189,1.6662069517990634,10.81258151757306,17.655172249366498
26,1,9,2,3.900000095367432,1.5,2.700000047683716,80.5999984741211,0.0,80.5999984741211,0.0
27,1,10,0,4.1066666881243385,1.1533333162466686,2.633333323399226,4.925333277384439,1.101333395640055,25.09999968210856,17.911110941569014
28,1,10,1,3.8071621134877205,-1.3483783841133117,1.232297257333994,4.295999956130981,0.8260000467300412,2.0982432708144145,14.349999856948854
29,1,10,2,6.666666666666666,2.2666667302449546,4.466666618982951,37.333333333333336,0.0,44.59999974568685,0.0
30,1,11,0,3.8982800746505912,-0.9262899537429665,1.4892710928212511,3.7399999463196973,1.1418182344147652,5.895904969536892,13.80808064431855
31,1,11,1,8.849999904632568,2.8500000983476643,5.8500001430511475,2.5399999618530273,1.180000066757202,86.89999771118164,27.5
32,1,11,2,6.300000111262003,1.7333333293596906,4.033333261807759,58.53333282470703,0.0,37.93333307902019,13.333333333333332
33,1,12,0,4.301201207770242,-0.4018768637130661,1.9651651655634244,4.823333303133643,0.9733333852556015,8.171246277375355,14.046296146180893
34,1,12,1,7.199999809265138,0.8000000119209292,4.0,62.599998474121094,0.0,62.599998474121094,31.0
35,1,12,2,5.0,2.0999999046325684,3.5999999046325684,62.599998474121094,0.0,0.800000011920929,0.0
36,1,13,0,6.610000038146971,0.9699999935925008,3.8200000762939457,4.831999921798706,0.4720000267028806,3.1499999523162856,1.5999999999999979
37,1,13,1,3.290000039339066,0.8200000166893007,2.059999966621399,11.544000244140625,0.9440000534057615,38.319999885559085,14.066666412353516
38,1,13,2,3.830180221133762,-1.470420399473773,1.18588587641716,5.059999942779541,1.0488889482286239,5.1147147739927,18.944444285498726
39,1,14,0,5.590830118528434,-0.19527027995458673,2.7052123402910575,6.021428585052489,0.8428571905408584,3.1844595095940953,12.15476179122925
40,1,14,1,6.662499964237213,1.875000041909516,4.287499949336052,5.079999923706055,1.180000066757202,55.69999933242798,15.583333134651184
41,1,14,2,10.800000190734863,0.4000000059604645,5.599999904632568,48.20000076293945,0.0,48.20000076293945,3.0
