day,month,year,max_temp,min_temp,mean_temp,rain,snow_precip,precip,snow_on_ground
1986,1,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,2,8.225975119502044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,3,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,4,8.803408430829505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,5,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,6,8.803408430829505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,7,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,8,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,9,8.803408430829505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,10,9.092121131323903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,11,8.803408430829505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,12,9.092121131323903,2.4272283947560758,3.0970174884884436,2.669567015238731,9.17528225208454,0.0,9.17528225208454,0.0
1987,1,9.092121131323903,3.33336021494537,3.701786839683184,3.5018029686837338,10.524025716773885,1.1886560586672879,10.426468543195702,1.5746650096046202
1987,2,8.225975119502044,2.275574815456688,2.91366058239768,1.9183050970344402,4.3881574844378415,0.0944911182523068,4.381362363558481,0.0
1987,3,9.092121131323903,3.0013437850617906,3.2090262483135903,1.7116928836922658,12.16058506112231,0.0,12.16058506112231,0.0
1987,4,8.803408430829505,5.037788239379221,3.1735708159954346,2.827906868396826,9.96449996420461,0.0,9.96449996420461,0.0
1987,5,9.092121131323903,4.847624404343987,2.542435543848389,2.510044153476634,10.701786348725394,0.0,10.701786348725394,0.0
1987,6,8.803408430829505,5.084600369698707,2.57870367504259,3.096844678573939,3.013725370129882,0.0,3.013725370129882,0.0
1987,7,9.092121131323903,4.403444399631402,1.9783777431581804,2.195258644503498,6.225523324321755,0.0,6.225523324321755,0.0
1987,8,9.092121131323903,4.1792498169238534,1.8162942303445206,2.215381126391009,1.832866010621975,0.0,1.832866010621975,0.0
1987,9,8.803408430829505,4.997384373320972,2.743906519636874,2.762692502515127,2.2485142205621025,0.0,2.2485142205621025,0.0
1987,10,9.092121131323903,4.198886181035433,3.5863390744586954,2.8343932288822913,3.5545246274680804,0.0,3.5545246274680804,0.0
1987,11,8.803408430829505,2.8591956910991585,3.6499488265976563,3.090751899169044,8.674510718642031,0.0,8.674510718642031,0.0
1987,12,9.092121131323903,3.716571434239688,4.154670904245082,3.836124321538312,9.020668026707675,1.685721163520331,8.871406292054846,4.612978418817187
1988,1,9.092121131323903,3.1776267603286876,3.5586484084022207,3.2075113828308406,5.616396807862811,0.8507555389233153,5.756835992986569,3.9308539661536415
1988,2,8.514693182963201,4.515026908036713,3.749958948872188,3.436249152887009,8.19941875248542,1.671258043593467,8.178574969705936,2.4640269015229053
1988,3,9.092121131323903,3.357466402685408,2.622688434346694,1.5581903134660502,7.969058506185311,0.0,7.969058506185311,0.0
1988,4,8.803408430829505,5.041095483936097,3.3227273799364454,2.689333976086607,11.639234626398538,0.0,11.639234626398538,0.0
1988,5,9.092121131323903,5.179830611254611,2.3518466777617384,2.9399544038069925,8.65490125079632,0.0,8.65490125079632,0.0
1988,6,8.803408430829505,4.6432808951499345,2.879575319901966,2.904275287331966,4.293732321918739,0.0,4.293732321918739,0.0
1988,7,9.092121131323903,5.478403346396325,2.451793287082059,3.116984168250366,4.240021869333023,0.0,4.240021869333023,0.0
1988,8,9.092121131323903,4.228805469506103,1.9678873558111223,2.1045929212861574,3.4631733041787234,0.0,3.4631733041787234,0.0
1988,9,8.803408430829505,6.455328370254768,2.7690821750092613,3.941695570209769,8.760872454886291,0.0,8.760872454886291,0.0
1988,10,9.092121131323903,4.266019776229689,3.925858580157702,3.2614100400107007,12.039450343903283,0.0,12.039450343903283,0.0
1988,11,8.803408430829505,2.304169134915849,2.9345837199158935,2.4311697303770656,11.053017654431494,0.19428619761070295,11.023529866146262,0.0
1988,12,9.092121131323903,3.1154315878373295,3.623400648294985,3.303829682156816,12.067602532787724,1.434595593234913,12.266877282788013,2.36552297066234
1989,1,9.092121131323903,3.184218477401945,2.7113857901865988,2.810537056374699,9.713141546331451,3.055254554161582,9.926118502642794,3.9215423781537684
1989,2,8.225975119502044,5.119342922453228,5.092367719902893,4.478833260166334,4.21899822617779,2.0007406756349977,5.049233734093027,0.9567360740266436
1989,3,9.092121131323903,3.0542584408749556,3.5435083762992887,2.711437378332015,7.364992716011163,0.08980265101338744,7.352945388097487,0.0
1989,4,8.803408430829505,4.89748351988919,2.7143721358638397,2.7057537706187933,6.937143176599789,0.0,6.937143176599789,0.0
1989,5,9.092121131323903,4.359638931483114,2.847655137994458,2.7391858850743023,12.475071421894581,0.0,12.475071421894581,0.0
1989,6,8.803408430829505,5.0322237492056106,2.016882766041205,2.8924969829605662,5.75840819522387,0.0,5.75840819522387,0.0
1989,7,9.092121131323903,3.145828437651962,2.097361373531704,1.6572419898769886,4.2818747567472215,0.0,4.2818747567472215,0.0
1989,8,9.092121131323903,3.558421783796554,2.0338532739076696,1.62884600042378,7.8746580116561935,0.0,7.8746580116561935,0.0
1989,9,8.803408430829505,3.7289254561429974,2.035884963893318,1.9279670525024342,2.1026638881277906,0.0,2.1026638881277906,0.0
1989,10,9.092121131323903,3.7878555229002067,3.977760757657666,3.0976786539535657,9.364572906430073,0.0,9.364572906430073,0.0
