,month,day,cluster_id,max_temp,min_temp,mean_temp,rain,snow_precip,precip,snow_on_grnd
0,1,1,0,-1.3689776710841945,-6.694477081298828,-4.045475941637288,0.4554641518903815,1.5981198711239777,2.0535840275494945,29.20446528559146
1,1,1,1,-8.5,-14.375,-11.475000143051147,0.0,2.399999976158142,2.399999976158142,65.5
2,1,1,2,-12.999999999999998,-18.68181818181818,-15.85454541986639,-5.551115123125783e-17,0.12727272916923904,0.12727272916923837,35.0
3,1,2,0,-0.7499999999999991,-5.222222222222223,-3.0000000165568483,0.4777777782744831,1.1888888908757105,1.6666666666666667,24.055555555555557
4,1,2,1,-11.641891888209749,-17.56949806213379,-14.631853239876884,0.019691120300974085,0.6897683484213694,0.709459466593606,34.69305011204311
5,1,2,2,-4.666666666666666,-10.583333333333334,-7.649999966224035,2.066666603088379,2.0333333412806196,4.099999864896138,60.333333333333336
6,1,3,0,-1.070785068330312,-5.7606177557082425,-3.4307593646503616,0.2797940813359763,3.016988410836175,3.2967824907529923,30.557271503266833
7,1,3,1,-13.454545454545457,-18.90909090909091,-16.20909092643044,2.220446049250313e-16,0.3636363636363633,0.36363636363636287,29.545454545454547
8,1,3,2,-7.333333333333332,-13.499999999999998,-10.433333396911621,4.500000158945719,0.8999999761581419,5.4000000556310015,61.0
9,1,4,0,-1.7361308649966603,-7.051209098414372,-4.418207717569251,0.1618776682176088,2.413513516909198,2.5753911937537945,43.300142187821244
10,1,4,1,-2.8500000000000005,-7.25,-5.070000034570694,0.2399999976158142,0.6,0.8399999976158143,14.400000000000002
11,1,4,2,-16.055555555555557,-22.0,-19.055555131700302,0.0,0.17777778042687298,0.17777778042687298,40.333333333333336
12,1,5,0,-2.6493243217468256,-6.373648643493653,-4.542297345399857,0.07378378510475156,2.6528378397226335,2.7266216218471526,41.735135078430176
13,1,5,1,-16.7,-23.5,-20.139999389648438,0.0,2.199999904632568,2.199999904632568,56.2
14,1,5,2,-4.1923076923076925,-12.26923076923077,-8.24615380855707,0.7999999889960656,1.307692344372089,2.1076923333681545,20.076923076923073
15,1,6,0,-13.25,-21.125,-17.200000047683716,0.0,0.4000000059604647,0.4000000059604645,63.5
16,1,6,1,-0.33333333333333304,-8.0,-4.177777806917826,2.4222221374511723,0.6888888941870797,3.1111110316382518,16.777777777777775
17,1,6,2,-5.099459457397462,-10.418918914794922,-7.777837841510772,0.03502702832221971,2.242270250916481,2.2772972780466083,40.30810806274414
18,1,7,0,-3.818181818181818,-8.818181818181818,-6.327272740277377,-1.1102230246251565e-16,2.245454545725476,2.2454545457254755,56.0
19,1,7,1,1.9999999999999991,-2.499999999999999,-0.2500000074505797,2.5000000298023224,0.25,2.7500000298023224,18.25
20,1,7,2,-7.3677098123650815,-13.91963015104595,-10.65504977577611,0.014509246537559806,1.3924608897221717,1.4069701346911883,35.82645797729492
21,1,8,0,-1.1875,-4.875,-3.037500023841858,2.7755575615628914e-17,0.8249999880790709,0.8249999880790709,15.874999999999996
22,1,8,1,-6.777777777777778,-14.5,-10.644444465637207,0.06666666766007742,1.8222222063276503,1.8888889021343653,58.888888888888886
23,1,8,2,-4.499356496901739,-10.593951089041573,-7.573616541567303,0.3369369421686445,1.5503217436018444,1.8872586829321727,38.604890550885884
24,1,9,0,-5.520270268122355,-11.686373869578043,-8.62691437204679,0.21981982017556825,0.8773648707817001,1.0971846897155049,39.57094589869181
25,1,9,1,-6.0,-9.083333333333334,-7.56666656335195,0.0,5.166666626930236,5.166666626930237,64.0
26,1,9,2,-1.4375,-6.75,-4.1125000938773155,1.137500047683716,2.787499964237213,3.9250000119209294,15.75
27,1,10,0,-1.3749999999999996,-6.624999999999999,-4.012500025331974,1.5249999538064003,5.299999915063381,6.824999935925006,16.749999999999996
28,1,10,1,-5.7794594573974605,-11.318918914794923,-8.569837796688079,0.36302701592445363,0.842270271778107,1.2052973055839533,40.14810806274414
29,1,10,2,-5.1,-10.7,-7.9400000214576725,1.720000076293946,2.4,4.1200000762939455,70.2
30,1,11,0,-2.193693690829808,-8.304054048326279,-5.269219272666507,0.2597597655322817,1.1142642464902666,1.3740240103668637,27.927927864922424
31,1,11,1,-15.642857142857142,-22.21428571428571,-18.94285692487444,0.0,0.0,0.0,43.42857142857143
32,1,11,2,-1.4615384615384621,-5.769230769230768,-3.638461594398204,1.5076923370361324,2.307692300814849,3.815384637850981,53.846153846153854
33,1,12,0,-1.0304054021835332,-5.717060804367066,-3.3966216295957565,0.11097973398864247,3.6035472303628913,3.714526962488889,27.356418848037716
34,1,12,1,0.24999999999999956,-4.458333333333335,-2.108333349227906,2.5666667222976685,2.316666692495346,4.8833333949248,55.49999999999999
35,1,12,2,-12.749999999999998,-19.950000000000003,-16.369999790191653,-2.220446049250313e-16,0.9800000205636028,0.9800000205636028,40.2
36,1,13,0,-12.333333333333334,-17.88888888888889,-16.211110962761772,1.2666666242811415,1.1999999930461247,2.4666666173272658,38.55555555555556
37,1,13,1,-1.499034745352609,-6.926640919276645,-4.224710430417742,0.019691120300974196,1.225482621363231,1.2451737395354676,26.33590725490025
38,1,13,2,-1.2666666666666666,-5.6,-3.440000029404959,1.8800000478823982,1.5733333259820936,3.4533333748579023,55.06666666666666
39,1,14,0,0.47884841587232474,-5.30317273347274,-2.419388957645582,0.4119858916686929,1.3415981336780218,1.7535840240509615,31.9001174595045
40,1,14,1,-12.874999999999998,-18.3125,-15.612499952316284,0.0,1.8749999701976776,1.8749999701976776,42.625
